folders,调用方式,Basic_Knowledge_corr,B_time,B_score,Algorithm,A_time,A_score,Calculate,C_time,C_score,CR_corr,CR_T,CR_score,CG_corr,CG_l_scores,CG_score,Code_score,expert,Guess_ELO,Guess_score,single_choices_total,total
4.0Ultra,api,92.63%,15.34,72.5,80.00%,126.76,58.66,65.63%,84.94,49.19,72.00%,4.45,64.62,72,84.76,78.38,71.5,64.29,915.46,38.61,180.35,354.75
claude-3-5-haiku-20241022,api,76.84%,7.65,64.64,68.00%,45.27,52.06,31.25%,29.66,27.38,92.00%,6.44,76.22,,,,38.11,,1012.73,65.25,144.08,247.44
claude-3-5-sonnet-20241022,api,97.89%,10.59,77.74,84.00%,62.9,62.58,53.13%,41.23,41.86,88.00%,11.69,70.37,,,,35.19,,1099.28,88.95,182.18,306.32
claude-3-7-sonnet-20250219,api,97.89%,14.04,76.53,96.00%,89.62,70.37,71.88%,58.12,54.25,,,,,,,0,,1106.89,91.04,201.15,292.19
claude-sonnet-4-20250514,api,98.95%,10.74,78.42,92.00%,65.07,68.12,81.25%,42.85,61.46,,,,,,,0,,1032.63,70.7,208,278.7
deepseek-chat,api,97.89%,10.87,77.62,88.00%,203.21,63.7,87.50%,88.47,64.44,92.00%,12.43,72.91,56,90.02,73.01,72.96,92.86,1037.79,72.11,205.76,443.69
deepseek-r1-distill-qwen-32b-250120,api,96.84%,12.9,76.14,80.00%,135.79,58.57,71.88%,73.06,53.82,76.00%,19.56,59.98,72,90.56,81.28,70.63,,1075.03,82.31,188.53,341.47
deepseek-reasoner,api,97.89%,64.73,72.26,92.00%,93.09,67.51,90.63%,243.51,65.36,88.00%,60.39,65.46,96,91.89,93.94,79.7,78.57,1075.43,82.42,205.13,445.82
doubao-1.5-lite-32k-250115,api,86.32%,4.03,75.36,84.00%,28.22,64.45,62.50%,17.76,50.87,60.00%,6.8,53.5,,,,26.75,,1046.35,74.46,190.68,291.89
doubao-1.5-pro-256k-250115,api,94.74%,4.23,80.9,92.00%,34.89,69.48,71.88%,21.44,56.79,68.00%,9.87,57.15,76,80.72,78.36,67.76,64.29,1065.09,79.59,207.17,418.8
doubao-1.5-pro-32k-250115,api,95.79%,9.19,76.95,92.00%,60.27,68.26,75.00%,37.5,57.4,80.00%,11.67,64.78,60,86.8,73.4,69.09,78.57,1074.2,82.09,202.61,432.36
doubao-1.5-thinking-pro-250415,api,97.89%,26.61,74.34,88.00%,179.44,63.84,90.63%,125.52,66.12,88.00%,21.76,68.03,92,92.5,92.25,80.14,71.43,1082.25,84.29,204.3,440.16
doubao-1.5-thinking-vision-pro-250428,api,97.89%,10.54,77.77,84.00%,99.51,61.81,84.38%,65.93,62.76,92.00%,4.49,78.56,48,82.81,65.4,71.98,64.29,1084.63,84.94,202.34,423.55
ernie-4.5-turbo-128k,api,94.74%,9.15,76.24,80.00%,85.38,59.25,68.75%,57.4,52.08,84.00%,17.32,66.01,60,89.25,74.62,70.32,85.71,1050.71,75.65,187.57,419.25
ernie-4.5-turbo-32k,api,95.79%,14.88,74.83,76.00%,136.28,55.77,71.88%,89.95,53.48,88.00%,7,72.94,68,90.94,79.47,76.21,57.14,,0,184.08,317.43
ernie-4.5-turbo-vl-32k,api,91.58%,8.89,74.17,68.00%,59.51,51.49,50.00%,39.33,39.78,80.00%,2.87,73.7,60,88.84,74.42,74.06,71.43,1133.72,98.39,165.44,409.32
ernie-4.5-turbo-vl-32k-preview,api,96.84%,8.44,78.11,84.00%,66.97,62.47,75.00%,44.53,57,92.00%,15.44,72.03,76,89.21,82.6,77.32,71.43,1066.59,80,197.58,426.32
ernie-lite-8k,api,11.58%,7.27,19.23,28.00%,46.21,24.01,6.25%,30.96,9.77,,,,,,,0,,821.38,12.85,53.01,65.86
ernie-lite-pro-128k,api,53.68%,4.28,52.09,56.00%,31.37,44.56,18.75%,21.92,19.53,48.00%,3.54,49.54,40,74.84,57.42,53.48,42.86,862.15,24.01,116.18,236.53
ernie-speed-128k,api,13.68%,6.31,21.52,28.00%,41.52,24.26,25.00%,29.87,22.99,48.00%,12.55,42.07,,,,21.04,,774.47,0,68.77,89.81
ernie-speed-8k,api,18.95%,6.1,25.41,16.00%,40.17,15.93,3.13%,28.58,7.8,,,,,,,0,,934.26,43.76,49.14,92.9
ernie-speed-pro-128k,api,67.37%,5.79,59.63,52.00%,43.45,40.95,12.50%,30.94,14.14,0.00%,1.72,22.88,60,81.98,70.99,46.94,50,783.72,2.53,114.72,214.19
ernie-tiny-8k,api,12.63%,1.6,32.56,24.00%,9.15,26.72,0.00%,6.39,11.87,,,,,,,0,,,0,71.15,71.15
ernie-x1-turbo-32k,api,97.89%,31.25,73.89,84.00%,631.6,59.99,90.63%,267.23,65.27,88.00%,22.91,67.87,84,90.63,87.32,77.6,,1139.61,100,199.15,376.75
gemini-2.5-flash-preview,api,95.79%,6.6,78.73,80.00%,51.78,60.17,71.88%,34.47,55.42,88.00%,22.91,67.87,,,,33.94,,975.93,55.17,194.32,283.43
gemini-2.5-pro-preview-03-25,api,96.84%,24.33,73.87,88.00%,188.69,63.78,87.50%,115.95,64.04,,,,,,,0,,1085.4,85.15,201.69,286.84
gemma3,本地部署,72.63%,2.68,69.18,48.00%,21.53,40.07,25.00%,14.65,25.34,8.00%,92.38,8.72,40,73.33,56.66,32.69,50,,0,134.58,217.27
gpt-4.1,api,98.95%,5.86,81.66,96.00%,36.16,72.19,81.25%,24.34,62.96,92.00%,5.05,77.75,,,,38.88,,1086.52,85.46,216.8,341.14
gpt-4.1-mini-2025-04-14,api,96.84%,3.68,83.43,92.00%,33.11,69.61,84.38%,21.64,65.52,88.00%,3.82,76.95,,,,38.48,,,0,218.56,257.04
gpt-4o-2024-08-06,api,97.89%,4.81,82.2,92.00%,28.66,70,65.63%,19.37,52.76,88.00%,3.05,78.79,,,,39.4,,1060.76,78.41,204.96,322.77
gpt-4o-mini-2024-07-18,api,93.68%,3.65,81.28,88.00%,26.22,67.46,46.88%,17.69,39.95,72.00%,2.63,68.88,,,,34.44,,1111.08,92.19,188.69,315.32
kimi-latest,api,95.79%,8.25,77.5,92.00%,60.45,68.26,62.50%,42.29,48.36,76.00%,10.54,62.44,56,92.06,74.03,68.24,78.57,989.26,58.82,194.12,399.75
lite,api,25.26%,5.57,30.39,24.00%,40.45,21.52,12.50%,27.16,14.51,8.00%,11.18,14.57,24,50,37,25.79,14.29,775.43,0.26,66.42,106.75
llama3.1,本地部署,56.84%,2.96,57.22,56.00%,28.23,44.85,21.88%,20.06,22.01,28.00%,8.05,30.17,56,70.96,63.48,46.83,57.14,,0,124.07,228.04
max-32k,api,93.68%,16.57,72.95,80.00%,123.12,58.7,68.75%,85,51.38,,,,24,67,45.5,22.75,,947.18,47.3,183.03,253.08
mistral,本地部署,43.16%,4.04,45.13,40.00%,22.62,34.31,15.63%,16.67,18.29,32.00%,3.44,38.58,60,81.72,70.86,54.72,35.71,,0,97.72,188.15
moonshot-v1-128k,api,85.26%,4.57,73.72,68.00%,30.83,53,40.63%,20.57,35.06,68.00%,5.86,59.99,60,84.32,72.16,66.08,85.71,900.09,34.4,161.77,347.96
moonshot-v1-32k,api,88.42%,5.58,74.59,80.00%,36.36,60.98,37.50%,24.28,32.34,72.00%,7.16,61.61,,,,30.81,78.57,887.41,30.93,167.91,308.22
moonshot-v1-8k,api,87.37%,4.62,75.12,68.00%,32.19,52.89,37.50%,21.3,32.75,,,,,,,0,,969.3,53.36,160.75,214.11
o3-mini-2025-01-31,api,96.84%,9.53,77.51,92.00%,64.54,68.13,87.50%,40.99,65.94,88.00%,8.2,72.08,,,,36.04,,1003,62.59,211.58,310.21
o4-mini,api,95.79%,9.68,76.7,92.00%,79.98,67.75,87.50%,53.91,65.34,88.00%,5.39,74.52,,,,37.26,,1025.59,68.77,209.79,315.82
pro,api,65.26%,7.83,56.4,60.00%,80.41,45.35,25.00%,51.53,21.68,60.00%,37.63,46.89,60,84.58,72.29,59.59,,,0,123.43,183.02
pro-128k,api,50.53%,5.37,48.32,40.00%,49.75,32.25,21.88%,34.76,20.4,12.00%,27.05,14.17,36,41.52,38.76,26.47,50,825.8,14.06,100.97,191.5
qwen3,本地部署,96.84%,6.72,79.36,76.00%,65.83,56.9,71.88%,42.22,54.93,52.00%,77.03,39.82,80,88.46,84.23,62.03,71.43,,,191.19,324.64
qwq,本地部署,96.84%,43.31,72.35,88.00%,314.84,63.29,71.88%,212.59,52.37,72.00%,103.28,53.35,92,87.27,89.64,71.5,78.57,,,188.01,338.08
tinyllama,本地部署,14.74%,0.92,41.54,4.00%,5.94,15.11,12.50%,3.95,23.84,8.00%,6.37,17.49,0,24.96,12.48,14.99,14.29,,,80.5,109.77
,,,,,,,,,,,,,,,,,,,,,164.13,
,,,,,,,,,,,,,,,,,,,,,187.79,
